iter	Passed	Remaining
0	134	134185
1	135	67834
2	137	45602
3	138	34434
4	139	27751
5	140	23257
6	141	20041
7	142	17609
8	143	15754
9	143	14227
10	144	13023
11	146	12030
12	148	11310
13	149	10556
14	151	9918
15	151	9344
16	152	8841
17	153	8392
18	155	8007
19	156	7650
20	157	7328
21	158	7026
22	159	6768
23	160	6526
24	162	6323
25	162	6099
26	163	5892
27	164	5718
28	165	5544
29	166	5377
30	167	5224
31	168	5083
32	168	4949
33	169	4822
34	171	4725
35	172	4617
36	173	4513
37	174	4416
38	176	4360
39	178	4272
40	179	4187
41	180	4106
42	180	4025
43	181	3949
44	182	3876
45	183	3808
46	184	3741
47	185	3675
48	186	3617
49	187	3563
50	189	3517
51	190	3464
52	191	3417
53	192	3365
54	192	3313
55	193	3262
56	194	3214
57	195	3170
58	195	3125
59	196	3082
60	197	3040
61	198	2999
62	199	2960
63	199	2922
64	200	2884
65	201	2852
66	202	2819
67	204	2807
68	206	2782
69	207	2752
70	208	2723
71	208	2689
72	209	2658
73	210	2630
74	210	2600
75	211	2573
76	212	2544
77	212	2516
78	213	2489
79	214	2463
80	214	2438
81	215	2412
82	216	2390
83	217	2368
84	219	2366
85	220	2348
86	222	2335
87	223	2315
88	224	2294
89	224	2274
90	225	2253
91	226	2233
92	227	2214
93	227	2194
94	228	2176
95	229	2157
96	229	2139
97	230	2123
98	231	2108
99	234	2108
100	235	2093
101	236	2079
102	236	2063
103	238	2050
104	238	2035
105	239	2020
106	240	2004
107	240	1989
108	241	1974
109	242	1960
110	243	1946
111	243	1931
112	244	1918
113	245	1904
114	245	1892
115	247	1884
116	249	1880
117	249	1867
118	250	1855
119	251	1843
120	251	1830
121	252	1819
122	253	1806
123	254	1794
124	254	1782
125	255	1769
126	255	1756
127	256	1746
128	257	1735
129	257	1725
130	258	1715
131	259	1703
132	259	1692
133	260	1685
134	262	1679
135	264	1680
136	265	1670
137	266	1662
138	267	1654
139	267	1645
140	268	1635
141	269	1626
142	269	1617
143	270	1607
144	271	1598
145	271	1589
146	272	1580
147	272	1569
148	273	1561
149	274	1555
150	275	1548
151	276	1543
152	279	1545
153	280	1538
154	280	1531
155	281	1524
156	282	1516
157	283	1508
158	283	1500
159	284	1492
160	284	1485
161	285	1477
162	286	1468
163	286	1461
164	287	1454
165	288	1447
166	288	1440
167	289	1433
168	290	1429
169	291	1424
170	293	1420
171	294	1415
172	294	1409
173	295	1403
174	296	1396
175	296	1390
176	297	1384
177	298	1377
178	299	1371
179	299	1365
180	300	1359
181	301	1353
182	301	1347
183	302	1342
184	303	1335
185	303	1329
186	304	1324
187	305	1318
188	306	1314
189	308	1316
190	310	1314
191	310	1307
192	311	1304
193	312	1299
194	313	1293
195	313	1287
196	314	1283
197	315	1277
198	315	1271
199	316	1266
200	317	1261
201	317	1256
202	318	1250
203	319	1245
204	319	1240
205	320	1235
206	321	1231
207	323	1230
208	324	1228
209	325	1223
210	327	1224
211	328	1220
212	329	1216
213	330	1212
214	330	1207
215	331	1202
216	332	1198
217	332	1193
218	333	1188
219	334	1184
220	334	1179
221	335	1176
222	336	1172
223	338	1173
224	340	1171
225	340	1167
226	341	1162
227	342	1161
228	344	1158
229	344	1154
230	345	1150
231	346	1146
232	346	1142
233	347	1137
234	348	1133
235	348	1129
236	349	1126
237	350	1122
238	351	1120
239	354	1121
240	355	1118
241	356	1115
242	357	1112
243	357	1108
244	358	1105
245	359	1101
246	359	1097
247	360	1093
248	361	1089
249	361	1085
250	363	1083
251	364	1081
252	365	1079
253	366	1075
254	367	1073
255	369	1073
256	370	1070
257	371	1068
258	372	1064
259	372	1061
260	373	1057
261	374	1053
262	374	1050
263	375	1046
264	376	1043
265	376	1039
266	377	1036
267	378	1033
268	379	1030
269	379	1026
270	380	1024
271	381	1022
272	382	1019
273	383	1016
274	384	1014
275	385	1012
276	386	1009
277	387	1005
278	388	1003
279	388	1000
280	389	996
281	390	993
282	391	990
283	391	987
284	392	984
285	393	981
286	393	978
287	394	975
288	395	972
289	396	969
290	397	968
291	399	968
292	400	965
293	401	964
294	402	961
295	402	958
296	403	955
297	404	952
298	404	949
299	405	946
300	406	943
301	406	940
302	407	937
303	408	934
304	409	932
305	409	929
306	410	926
307	411	923
308	412	921
309	413	919
310	414	917
311	415	915
312	415	912
313	417	911
314	417	908
315	418	905
316	419	903
317	420	901
318	420	898
319	421	896
320	422	893
321	423	891
322	424	889
323	425	888
324	426	885
325	428	886
326	430	885
327	431	883
328	432	881
329	433	879
330	433	876
331	434	874
332	435	871
333	436	869
334	436	867
335	437	864
336	438	861
337	438	859
338	439	857
339	440	855
340	441	853
341	443	853
342	444	851
343	445	850
344	446	847
345	447	845
346	447	842
347	448	840
348	449	837
349	449	835
350	450	833
351	451	830
352	451	827
353	452	825
354	453	823
355	454	821
356	455	819
357	456	818
358	457	816
359	458	814
360	459	812
361	460	811
362	461	809
363	461	807
364	462	804
365	463	802
366	464	800
367	464	798
368	465	795
369	466	793
370	466	791
371	467	789
372	468	787
373	468	784
374	469	782
375	470	780
376	470	778
377	472	778
378	475	778
379	476	776
380	476	774
381	477	772
382	478	771
383	479	769
384	480	767
385	480	764
386	481	762
387	482	760
388	482	758
389	483	756
390	484	754
391	484	751
392	485	750
393	486	748
394	488	748
395	489	746
396	490	744
397	491	743
398	492	741
399	493	739
400	493	737
401	494	735
402	495	733
403	495	731
404	496	729
405	496	727
406	497	725
407	498	723
408	499	721
409	499	719
410	500	717
411	501	715
412	503	715
413	504	713
414	505	712
415	505	710
416	506	708
417	507	706
418	508	704
419	509	702
420	509	701
421	510	699
422	511	697
423	511	695
424	512	693
425	513	691
426	513	689
427	514	687
428	515	686
429	517	686
430	519	685
431	520	684
432	521	682
433	521	680
434	522	678
435	523	676
436	523	675
437	524	673
438	525	671
439	525	669
440	526	667
441	527	665
442	527	663
443	528	661
444	529	659
445	530	658
446	530	656
447	532	655
448	533	654
449	534	653
450	535	652
451	536	650
452	537	649
453	538	647
454	538	645
455	539	643
456	540	641
457	540	640
458	541	638
459	542	636
460	542	634
461	544	634
462	545	632
463	546	631
464	548	631
465	549	629
466	550	628
467	551	627
468	552	625
469	552	623
470	553	621
471	554	619
472	555	619
473	556	617
474	557	615
475	557	614
476	558	612
477	559	610
478	560	609
479	560	607
480	562	606
481	563	605
482	564	603
483	565	602
484	565	600
485	566	599
486	567	597
487	567	595
488	568	594
489	569	592
490	569	590
491	570	589
492	571	587
493	571	585
494	572	584
495	573	582
496	573	580
497	575	579
498	575	578
499	577	577
500	578	575
501	579	574
502	580	573
503	580	571
504	581	570
505	582	568
506	582	566
507	583	565
508	584	563
509	584	562
510	585	560
511	586	558
512	586	557
513	587	555
514	588	553
515	588	552
516	589	550
517	590	549
518	592	549
519	593	548
520	595	547
521	596	545
522	596	544
523	597	542
524	598	541
525	598	539
526	599	538
527	600	536
528	600	535
529	601	533
530	602	531
531	602	530
532	603	528
533	604	527
534	604	525
535	605	524
536	606	523
537	608	522
538	609	521
539	611	520
540	612	519
541	612	517
542	613	516
543	614	514
544	614	513
545	615	511
546	616	510
547	616	508
548	617	507
549	618	505
550	618	504
551	620	503
552	621	502
553	622	501
554	623	500
555	624	498
556	625	497
557	626	496
558	627	494
559	627	493
560	628	491
561	629	490
562	629	488
563	630	487
564	630	485
565	631	484
566	632	483
567	633	481
568	634	480
569	635	479
570	636	478
571	638	477
572	639	476
573	640	475
574	640	473
575	641	472
576	642	470
577	642	469
578	643	467
579	644	466
580	644	465
581	645	463
582	646	462
583	646	460
584	647	459
585	648	457
586	648	456
587	649	455
588	650	453
589	652	453
590	652	451
591	654	450
592	654	449
593	655	447
594	655	446
595	656	445
596	657	443
597	657	442
598	658	440
599	659	439
600	659	438
601	660	436
602	661	435
603	661	433
604	662	432
605	663	431
606	663	429
607	664	428
608	666	427
609	667	426
610	668	425
611	669	424
612	670	423
613	671	422
614	672	420
615	672	419
616	673	417
617	674	416
618	674	415
619	675	413
620	675	412
621	676	411
622	677	409
623	677	408
624	678	407
625	679	405
626	680	404
627	682	404
628	683	402
629	684	401
630	684	400
631	685	399
632	686	397
633	686	396
634	687	395
635	688	393
636	688	392
637	689	391
638	690	389
639	690	388
640	691	387
641	692	385
642	692	384
643	693	383
644	694	382
645	695	380
646	696	379
647	697	378
648	697	377
649	698	376
650	699	374
651	699	373
652	700	372
653	701	371
654	702	369
655	702	368
656	703	367
657	704	366
658	705	364
659	705	363
660	706	362
661	707	361
662	707	359
663	708	358
664	708	357
665	709	355
666	711	354
667	712	354
668	713	353
669	714	351
670	715	350
671	715	349
672	716	348
673	717	346
674	717	345
675	718	344
676	719	343
677	720	342
678	721	340
679	721	339
680	722	338
681	723	337
682	724	336
683	725	335
684	727	334
685	728	333
686	729	332
687	730	331
688	730	329
689	731	328
690	732	327
691	732	326
692	733	324
693	734	323
694	734	322
695	735	321
696	735	319
697	736	318
698	737	317
699	738	316
700	738	315
701	739	314
702	741	313
703	742	312
704	743	311
705	744	310
706	745	308
707	745	307
708	746	306
709	747	305
710	747	303
711	748	302
712	749	301
713	749	300
714	750	299
715	750	297
716	751	296
717	752	295
718	753	294
719	753	293
720	754	292
721	756	291
722	757	290
723	757	288
724	758	287
725	759	286
726	760	285
727	760	284
728	761	283
729	762	281
730	762	280
731	763	279
732	764	278
733	764	277
734	765	276
735	766	274
736	766	273
737	767	272
738	768	271
739	768	270
740	769	269
741	770	267
742	772	267
743	773	266
744	774	265
745	775	263
746	776	262
747	776	261
748	777	260
749	778	259
750	778	258
751	779	257
752	780	255
753	780	254
754	781	253
755	782	252
756	782	251
757	783	250
758	784	249
759	785	248
760	787	247
761	787	246
762	789	245
763	790	244
764	790	242
765	791	241
766	792	240
767	792	239
768	793	238
769	794	237
770	794	236
771	795	234
772	796	233
773	796	232
774	797	231
775	798	230
776	799	229
777	799	228
778	801	227
779	802	226
780	803	225
781	804	224
782	804	223
783	805	222
784	806	220
785	807	219
786	807	218
787	808	217
788	809	216
789	809	215
790	810	214
791	811	213
792	811	211
793	812	210
794	813	209
795	814	208
796	815	207
797	817	206
798	818	205
799	819	204
800	821	204
801	822	202
802	822	201
803	823	200
804	824	199
805	824	198
806	825	197
807	826	196
808	826	195
809	827	194
810	828	193
811	829	191
812	830	190
813	831	190
814	832	189
815	833	187
816	834	186
817	835	185
818	835	184
819	836	183
820	837	182
821	838	181
822	838	180
823	839	179
824	839	178
825	840	177
826	841	175
827	841	174
828	842	173
829	842	172
830	843	171
831	844	170
832	846	169
833	847	168
834	848	167
835	849	166
836	849	165
837	850	164
838	851	163
839	851	162
840	852	161
841	853	160
842	853	159
843	854	157
844	855	156
845	855	155
846	856	154
847	857	153
848	857	152
849	859	151
850	860	150
851	862	149
852	862	148
853	863	147
854	864	146
855	864	145
856	865	144
857	866	143
858	867	142
859	867	141
860	868	140
861	869	139
862	869	138
863	871	137
864	872	136
865	875	135
866	876	134
867	878	133
868	880	132
869	881	131
870	882	130
871	883	129
872	884	128
873	885	127
874	886	126
875	887	125
876	888	124
877	891	123
878	892	122
879	894	121
880	895	120
881	896	119
882	897	118
883	897	117
884	898	116
885	899	115
886	903	115
887	904	114
888	906	113
889	907	112
890	908	111
891	909	110
892	910	109
893	912	108
894	913	107
895	913	106
896	914	105
897	916	104
898	918	103
899	920	102
900	921	101
901	923	100
902	924	99
903	925	98
904	926	97
905	928	96
906	929	95
907	931	94
908	933	93
909	936	92
910	939	91
911	941	90
912	943	89
913	944	88
914	947	87
915	948	87
916	950	85
917	951	84
918	952	83
919	953	82
920	954	81
921	955	80
922	956	79
923	957	78
924	958	77
925	959	76
926	961	75
927	962	74
928	965	73
929	966	72
930	967	71
931	968	70
932	969	69
933	970	68
934	970	67
935	971	66
936	972	65
937	973	64
938	974	63
939	975	62
940	976	61
941	978	60
942	979	59
943	980	58
944	981	57
945	981	56
946	982	54
947	983	53
948	984	52
949	984	51
950	985	50
951	986	49
952	987	48
953	987	47
954	988	46
955	989	45
956	991	44
957	993	43
958	995	42
959	997	41
960	998	40
961	1000	39
962	1000	38
963	1001	37
964	1002	36
965	1003	35
966	1004	34
967	1005	33
968	1006	32
969	1008	31
970	1008	30
971	1009	29
972	1010	28
973	1011	26
974	1012	25
975	1012	24
976	1013	23
977	1014	22
978	1015	21
979	1016	20
980	1017	19
981	1017	18
982	1018	17
983	1019	16
984	1020	15
985	1021	14
986	1023	13
987	1024	12
988	1025	11
989	1026	10
990	1026	9
991	1027	8
992	1028	7
993	1029	6
994	1029	5
995	1030	4
996	1031	3
997	1031	2
998	1032	1
